HouseholdID,StateRegion,Township,UrbanRural,SurveyDate,Year,HHSize,ChildrenUnder5,FemaleHeaded,WealthQuintile,HungerScore,HungerCategory,FCS,FCSCategory,DietDiversityScore,DietDiversityCategory,MonthlyFoodExpenditure,MonthlyIncome,ConflictShock,PriceShock,IDPStatus
HH00001,Rakhine,Sittwe,Urban,12/9/20,2020,4,1,Yes,Poorest,2,Moderate,43,Acceptable,7,High,70628,158075,No,No,No
HH00002,Kayah,Township B,Urban,1/3/20,2020,4,1,Yes,Richest,2,Moderate,55,Acceptable,4,Medium,48628,106870,No,Yes,No
HH00003,Rakhine,Maungdaw,Urban,8/19/20,2020,5,0,Yes,Rich,2,Moderate,25,Borderline,2,Low,61823,105942,Yes,Yes,No
HH00004,Tanintharyi,Township A,Urban,7/4/20,2020,6,2,No,Poorest,1,Little/None,37,Acceptable,4,Medium,42269,66509,No,No,No
HH00005,Mandalay,Aungmyay Thazan,Rural,2/18/20,2020,5,4,No,Richest,2,Moderate,30,Borderline,4,Medium,48195,82773,No,Yes,No
HH00006,Kayah,Township A,Urban,5/3/20,2020,4,0,No,Middle,1,Little/None,54,Acceptable,6,Medium,55391,104111,No,No,No
HH00007,Ayeyarwady,Township B,Urban,6/12/20,2020,4,2,Yes,Richest,1,Little/None,34,Borderline,7,High,44158,89478,No,No,No
HH00008,Mandalay,Amarapura,Urban,3/15/20,2020,7,2,Yes,Middle,4,Severe,56,Acceptable,6,Medium,96101,142044,No,No,No
HH00009,Shan,Taunggyi,Urban,1/26/20,2020,6,3,No,Poorest,1,Little/None,41,Acceptable,3,Low,66161,102003,Yes,No,No
HH00010,Tanintharyi,Township A,Rural,7/21/20,2020,8,1,No,Poor,0,Little/None,36,Acceptable,3,Low,53405,83360,No,Yes,No
HH00011,Mandalay,Amarapura,Rural,12/19/20,2020,7,4,No,Middle,1,Little/None,51,Acceptable,8,High,65210,103282,No,Yes,No
HH00012,Kayin,Township B,Urban,1/28/20,2020,2,0,Yes,Rich,1,Little/None,38,Acceptable,2,Low,61808,147491,No,No,No
HH00013,Bago,Township B,Rural,9/9/20,2020,1,0,No,Middle,0,Little/None,33,Borderline,7,High,75880,113906,No,Yes,No
HH00014,Bago,Township A,Rural,1/24/20,2020,5,4,Yes,Richest,0,Little/None,44,Acceptable,7,High,56775,99889,No,No,No
HH00015,Ayeyarwady,Township B,Urban,3/12/20,2020,3,0,No,Rich,1,Little/None,60,Acceptable,0,Low,57290,140547,No,Yes,No
HH00016,Nay Pyi Taw,Township B,Rural,4/2/20,2020,4,4,Yes,Poorest,0,Little/None,55,Acceptable,7,High,38208,80475,No,No,No
HH00017,Ayeyarwady,Township A,Urban,3/22/20,2020,8,4,Yes,Middle,3,Moderate,39,Acceptable,4,Medium,72952,107456,No,No,No
